propertyCode,thumbnail,Link,Image,district,neighborhood,price,size,bed,br,floor,address,latitude,longitude,url,description
104878378,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2b/2e/a7/1298325828.webp,LINK,,Ciutat Vella,El Gòtic,"$1,600",75,3,1,1,"calle de la Mercè, 36",41.380827,2.1809072,https://www.idealista.com/inmueble/104878378/,"AVAILABLE 1 JUN BUILDING Antique building in the Gothic, without elevator. APARTMENT 3 bedrooms + living room + 1 bathroom + 1 kitchen Wifi / fans / no air conditions / fully equipped CONTRACT Temporal (estudios, trabajo, mudanza, etc) / No residencial PRICES Rent: 1600 Services 150€ (wifi, water, electricity -limited-) Deposit: 3200€ (to be refunded) Fee (once): 800€ (contract, maintenance, initial cleaning, bedding, flat fully equipped) VISITS Not possible to visit until June 1st It is possible to book online in advance. CONTACT Answering the ad, or through our site, with this 3 points: 1) Name, age, reason of the stay? 2) Period you would be interested in 3) REF: MP1 METRO L4 (Jaume I)."
99115986,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/90/9e/79/1145704987.webp,LINK,,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,"$1,550",65,3,1,3,"calle del Poeta Cabanyes, 49",41.3730837,2.1650848,https://www.idealista.com/inmueble/99115986/,"Available June 1st APARTMENT oriented towards master's and internship students Temporary rental 65m² / 3 bedrooms + living room + kitchen + 1 bathroom. PRICES Rent: €1550 Services: €150 / wifi, water, electricity, gas. Total €1700/month Deposit: €3100 (refundable at the end of the contract) Management: €850 (initial cleaning, logistics, furniture and accessories) CONTACT Respond to the ad or through our website, with these three points: 1) Name, age, reason for stay 2) Period you would be interested in 3) REF: PCB31 Metro L3 and L2 PARALLEL."
108111974,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bd/b1/76/1334189467.webp,LINK,,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,"$1,450",73,3,1,4,calle de Lafont,41.3746717,2.1695951,https://www.idealista.com/inmueble/108111974/,"AVAILABLE NOW! - SEASONAL RENTAL - EQUIPPED AND FURNISHED Bright corner apartment with excellent orientation and unobstructed views. Exterior apartment located on the fourth floor of a renovated building with an elevator. With a built-up area of 78 m², this property stands out for its excellent distribution, natural light throughout the day, and its corner location, guaranteeing ideal cross-ventilation. The apartment has been recently painted and is ready to move into. The property consists of three bedrooms (one double and two single), all furnished and equipped with large wardrobes, offering ample storage space. The living room has a sofa, two armchairs, and a dining area located next to the large window, ideal for taking advantage of the natural light and enjoying the views. The kitchen is fully equipped with appliances and utensils. The bathroom includes a bathtub and bidet, and the interior patio has a washing machine, drying area, and electric water heater. The aluminum windows with double glazing and blinds provide excellent thermal and acoustic insulation. Located on a semi-pedestrian street with trees and little traffic, the apartment is in a quiet and well-connected area, close to services, shops, public transport, and green areas. It is an excellent option for those seeking quality of life in a well-maintained and accessible urban environment. Renting this property means enjoying comfort, functionality, and a strategic location in the city. At Walter Haus, we will be happy to accompany you every step of the way. Contact us for more information or to schedule a visit!"
35297524,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dc/0d/c5/178141104.webp,LINK,,Sant Martí,La Vila Olímpica del Poblenou,"$1,795",80,3,1,bj,calle de Ramon Turró,41.3915024,2.1917717,https://www.idealista.com/inmueble/35297524/,"Reference: I1265-4 MONTHLY RENTAL FROM 32 DAYS UP TO 11 MONTHS. AVAILABLE FROM July 5, 2025. MONTHLY RENTAL Bright apartment for rent in the district of Sant Martí in Barcelona. Fully equipped and furnished, the apartment has three bedrooms, a kitchen, a bathroom and a terrace to enjoy the beautiful weather of the city. It is located 5 minutes walk from the beaches and very close to the Ciutadella Park and the Zoo of Barcelona. The area is well communicated by public transport. The nearest metro station is Ciutadella | Vila Olímpica (L4) and there are various bus stop around Marina Street. '."
108115586,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/48/8e/35/1334305518.webp,LINK,,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,"$1,450",66,3,1,1,calle de Blai,41.3757833,2.1639505,https://www.idealista.com/inmueble/108115586/,"REF: 002185 Spacious flat located in Poble -Sec very close to the metro station Paral-lel, recently renovated, the flat has 3 double bedrooms.  CHARACTERISTICS:  Flat of 66 m² (62 m² useful) in Poble-sec distributed in: - 3 double bedrooms, two of them exterior and one of them interior. - Fitted kitchen.  - Complete bathroom. - Terrace.  - Balcony facing the main street.  - Fully furnished. - Very close to Paral-lel metro station, located in Poble-sec.  TECHNICAL SPECIFICATIONS:  Height 1st floor, flat total surface area 66 m², useful surface area 62 m², double bedrooms: 3, 1 bathroom, age more than 50, kitchen, dining room, state of conservation: good condition, energy level of emissions: D, 17, energy consumption energy level: D, 81. LOCATION:  Being a residential area, it has all the amenities and services, from pharmacies to supermarkets. Also very close to Poble Sec and Paral. lel is the Mercat Sant Antoni, a huge market that sells especially groceries and is a good place to stroll around and indulge your senses. Poble Sec is only a 10/20 minute walk from Las Ramblas. The main advantage of staying in this area is that you will be close to the centre, but in a quieter part of town. If you want to avoid the hustle and bustle of tourists, this is the neighbourhood for you. There are 2 metro stops aptly named Paral. lel and Poble Sec. They are on the same line and are one or two stops away from Las Ramblas. You will find many theatres in Poble Sec, such as the mythical El Molino, or the Teatre Grec on Avinguda Diagonal where an internationally renowned festival of theatre, dance and music is held every year.  ABOUT ALL4FLAT:  We are a Real Estate agency located in Barcelona. Our job is to help in all the necessary steps and procedures for the intermediation of real estate properties. We have an extensive portfolio of products including all types of real estate for purchase or rent. In addition, we offer complementary quality real estate services such as: partial or integral reforms, vertical and/or horizontal administrations, financing solutions, insurance processing and legal and fiscal advice. We offer professional services guaranteeing the quality and integrity of our service to ensure the success of the company..."
91674044,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ce/6f/d0/820485765.webp,LINK,,Eixample,La Sagrada Família,"$1,650",50,3,1,6,calle dels Enamorats,41.4046288,2.1800278,https://www.idealista.com/inmueble/91674044/,"SEASONAL RENTAL - MINIMUM STAY 2 MONTHS - MAXIMUM 11 MONTHS  * 2 months deposit  * separate bills (150 euro per month)  * cleaning at the end of the stay € 200 (by the company in charge)  * agency commission 10% of the rent  TOTAL MONTHLY € 1650 (rent + bills + agency commission)  Located on the sixth floor of a residential building with an elevator, the apartment offers plenty of natural light, as the living room and master bedroom have direct sunlight.  The main bedroom has a double bed (135 cm x 190 cm), while the single bedroom has a bed of 80 x 190 cm. There is another room with cupboards, which can be used as a storage room (there is no bed).  Both bedrooms have drawers and closets. In the living room, there is a large table, plus a desk to install a desktop or laptop.  Of course, there is internet with wifi included in the price.  The kitchen comes complete with all necessary utensils and there is also a washing machine, accessible on the interior balcony connected to the single room.  There are 2 electric radiators to heat the apartment during the winter, but no A / C for the summer: the fact that there are windows in all rooms gives the apartment great ventilation.  We ask all our guests to provide details to prepare the rental contract (half stay) that will be signed at check-in."
108061625,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a7/ba/af/1333879600.webp,LINK,,Les Corts,Les Corts,"$1,962",84,3,1,5,Neighbourhood: Les Corts,41.3874497,2.1378066,https://www.idealista.com/inmueble/108061625/,"Nice apartment furnished in Les Corts Beautiful, bright apartment, fully furnished, in impeccable condition and ready to move in. The apartment is distributed in a pleasant living-dining room that leads to a lovely terrace with an electric awning and open views. It includes one double bedroom with built-in wardrobe, two single bedrooms with electrically adjustable beds, a brand-new fully equipped kitchen, a spectacular brand-new bathroom, and a laundry room. It features metal carpentry, LED lighting installation, Split air conditioning, heating with heat pump, and natural parquet flooring. The building has two elevators and porter service. Not available for students. Pets are not allowed. Rental price according to reference price index: 1.319, 41€ Large property holder: No Last price: 1.783, 79€ The house is in a fantastic location, just few steps from Diagonal Street and very close to Francesc Macià square, the shopping centre Corte Ingles and Pedralbes Centre and the leisure centre Cinesa Diagonal. It is also very close to “Zona Universitaria”."
108090445,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/96/58/a4/1333525085.webp,LINK,,Gràcia,El Camp d'En Grassot i Gràcia Nova,"$2,000",79,3,1,1,calle de Sant Antoni Maria Claret,41.4053698,2.1685626,https://www.idealista.com/inmueble/108090445/,"Temporary apartment in Sagrada Familia Wonderful apartment in a new building in Barcelona's Eixample neighborhood, across from the old Damm factory, very close to Sant Pau Hospital, and surrounded by all kinds of services. The apartment has a spacious living room, kitchen, two double bedrooms with en-suite bathrooms, a single bedroom, and another bathroom. A furnished terrace at the foot of the living room expands the space and fills it with light. The apartment is equipped with air conditioning, heating, and everything you need for a comfortable and pleasant stay. MINIMUM RENTAL OF 6 MONTHS Located in an unbeatable location and surrounded by the most emblematic places of the city."
107979647,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d9/cf/d9/1330086016.webp,LINK,,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,"$1,750",90,3,1,1,calle de Blasco de Garay,41.374123,2.1611696,https://www.idealista.com/inmueble/107979647/,"Furnished temporary apartment with balconies in Poblesec Renovated apartment, brand new, fully furnished, with balconies in Poblesec. Ready to move in, for temporary stays. Large, spacious and bright apartment with three large double bedrooms each with a balcony. Designer kitchen, open to the dining room and the entrance hall. The dining room, kitchen and hall area is spacious, about 30 m2. The kitchen is equipped with appliances, the gas stove is 90 cm (5 burners and oven. The three bedrooms are double, large and bright, all exterior and with a balcony. In one of the bedrooms there is a toilet. Bathroom with bathtub and window. The reform has made it possible to preserve the original elements of the apartment, such as the restored 2.8m high folding doors. The apartment has all the new communications, new aluminum carpentry, gas heating, restored 3.2 m high ceilings, parquet, in one of the rooms the old restored hydraulic floor has been preserved. Built-in wardrobes, spacious 2m2 loft, designer furniture and lighting. Completely renovated and brand new, it is located in an old building from 1907, with an elevator, located between Calle Paralel and the pedestrian Blai. Poblesec is one of the most popular neighborhoods in Barcelona, with aperitif areas such as Calle Blai, theaters, and great cultural and social life. It is located on the slopes of Montjuic, the park and green lung of Barcelona. The apartment is very well connected with the metro and bus. It is close to shops and restaurants. Excellent communication with Plaza España."
88899692,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8e/63/3e/758238065.webp,LINK,,Ciutat Vella,La Barceloneta,"$1,795",84,3,1,3,calle de l'Atlàntida,41.3813156,2.1909239,https://www.idealista.com/inmueble/88899692/,"Reference: T481-1 MONTHLY RENTAL FROM 32 DAYS UP TO 11 MONTHS. AVAILABLE FROM June 10, 2025. MONTHLY RENTAL ShBarcelona offers this renovated apartment for seasonal rent, a contract that is from 30 days to 12 months, ideal for those who stay in Barcelona for a limited time. The property is located in the Ciutat Vella district, specifically in Barceloneta, very close to the beach. The apartment has 84m² distributed between three double bedrooms, a study, a laundry room, a bathroom with a shower, and an independent kitchen fully equipped with the essentials. The actual height is a fourth floor. This apartment is ideal for tenants who come to Barcelona to live for a few months, as it is prepared with all the equipment to enter to live directly. It also has an Internet connection The location of the property is exceptional, as it is located in the Barceloneta neighborhood and just a few minutes walk you can enjoy Barceloneta Beach, the port, take a walk in the Parc de la Ciutadella, restaurants and entertainment venues. And, for those looking to buy from the most exclusive brands, the emblematic Paseo de Gracia is just three stops from the yellow metro line. '."
