propertyCode,url,address_search,price_search,details_search,description_search,source_page,scraped_at,seed_url,seed_label
109696793,https://www.idealista.com/en/inmueble/109696793/,"Flat / apartment in Calle d'Aragó, La Dreta de l'Eixample, Barcelona","1,199,000 €",3 bed. 164 m² 1st floor exterior with lift | 3 bed. | 164 m² | 1st floor exterior with lift,"FOR SALE: Amazing and bright renovated modernist apartment with terrace in the Eixample. This exceptional property FOR SALE is located on the “Principal” (first) floor, the most distinguished level, of a listed Modernist building near Passeig de Sant Joan, in the Eixample district. The high-end renovation, completed just two years ago, enhances the elegance and beauty of its original features such as the Nolla mosaic hydraulic floors, high ceilings with moldings, and the Catalan vaulted ceiling. The apartment offers 136 built interior sqm and",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110509586,https://www.idealista.com/en/inmueble/110509586/,"Flat / apartment in Calle de Tamarit, Sant Antoni, Barcelona","545,000 €",2 bed. 80 m² 4th floor exterior with lift | 2 bed. | 80 m² | 4th floor exterior with lift,We present this completely renovated apartment of great quality the apartment consists of two bedrooms two bathrooms with a large living room with open kitchen overlooking the street with air conditioning heating.,https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110630744,https://www.idealista.com/en/inmueble/110630744/,"Flat / apartment in Calle del Consell de Cent, La Dreta de l'Eixample, Barcelona","1,390,000 €",3 bed. 139 m² 3rd floor exterior with lift | 3 bed. | 139 m² | 3rd floor exterior with lift,"Excellent renovated apartment with original features FOR SALE in the Eixample. This flat FOR SALE is located in a stately building that was completely renovated in 2022 with new luxury homes, so it's in excellent condition. It's located on the intersection of Consell de Cent and Girona streets, both of which are pedestrianised, in the heart of the Eixample, next to Paseo Sant Joan and a few streets away from Paseo de Gracia and the city centre. The flat is on the real third floor of the building. It has 137 built interior sqm and 2 balconies",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110063350,https://www.idealista.com/en/inmueble/110063350/,"Flat / apartment in Calle de Girona, La Dreta de l'Eixample, Barcelona","2,200,000 €",3 bed. 271 m² 1st floor exterior with lift | 3 bed. | 271 m² | 1st floor exterior with lift,"Stunning refurbished modernist apartment with a large terrace in Eixample. This magnificent property is located in one of the most coveted streets in Eixample's right side, the prestigious Girona street. Located in a regal late 19th century estate, this property enjoys a privileged location in an area that will soon become an exclusive pedestrian promenade. It is also just a few steps away from Plaza Catalunya and Paseo de Gracia. The aparrment has been carefully refurbished to combine the splendour of modernism with the comfort and sophistic",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110182478,https://www.idealista.com/en/inmueble/110182478/,"Flat / apartment in Calle de Mallorca, La Dreta de l'Eixample, Barcelona","2,195,000 €",5 bed. 221 m² 5th floor exterior with lift | 5 bed. | 221 m² | 5th floor exterior with lift,"Outstanding brand new apartment in a stately building next to Paseo de Gracia. This wonderful flat has been completely refurbished with top-quality materials and finishings, maintaining the beauty of its original architectural features. It's in one of the most sought-after locations in Eixample's right side, just one block from Paseo de Gracia and very close to Rambla Catalunya and Avenida Diagonal. The property is on the real fifth floor of a century-old building with a lift and a concierge. It has 201 built interior sqm and a 4.35 sqm balco",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
106144229,https://www.idealista.com/en/inmueble/106144229/,"Flat / apartment in La Dreta de l'Eixample, Barcelona","1,460,000 €",4 bed. 248 m² 3rd floor exterior with lift | 4 bed. | 248 m² | 3rd floor exterior with lift,"Stunning and spacious brand new refurbished apartment in the centre of Barcelona. This wonderful flat has an enviable location in Barcelona, just one street away from Plaza Catalunya and Paseo de Gracia. You will be able to enjoy the charm of the Eixample and all the advantages of the city centre, with the best range of services, shops, theatres, prestigious institutions and public transport in the whole of Barcelona. The flat has been refurbished brand new and maintains beautiful original elements such as the Catalan vault in the ceilings a",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
109488303,https://www.idealista.com/en/inmueble/109488303/,"Flat / apartment in Calle de Girona, La Dreta de l'Eixample, Barcelona","1,790,000 €",3 bed. 199 m² 1st floor exterior with lift | 3 bed. | 199 m² | 1st floor exterior with lift,"Newly renovated exterior apartment with balcony on calle Girona, Eixample. Nobohome, a boutique property developer in Barcelona and the Costa Brava, is the owner of the following property for sale: A stunning 183 m2 apartment on the 3rd floor that enjoys abundant natural light due to several balcony doors that look over calle Girona. Newly renovated and designed. The open-plan kitchen and dining area seamlessly connect to the living room, that has its own bar / pantry with 2 wine fridges and a second dish washer. The veranda attached to the",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110055339,https://www.idealista.com/en/inmueble/110055339/,"Flat / apartment in Calle del Comte d'Urgell, L'Antiga Esquerra de l'Eixample, Barcelona","960,000 €",3 bed. 114 m² 7th floor exterior with lift | 3 bed. | 114 m² | 7th floor exterior with lift,"We present this spectacular, fully renovated apartment with high-quality finishes and located just a few meters from Francesc Macià, one of the most valued areas of Barcelona. Surrounded by shops, services, restaurants, and excellent public transport connections, this apartment offers comfort and style in a privileged environment. The property has a spacious and bright 30 m2 living-dining room with direct access to a fully equipped modern kitchen, accompanied by a practical gallery. The sleeping area consists of three bedrooms: an elegant suit",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
111026222,https://www.idealista.com/en/inmueble/111026222/,"Flat / apartment in Calle de Roger de Llúria, La Dreta de l'Eixample, Barcelona","2,700,000 €",3 bed. 241 m² 1st floor exterior with lift | 3 bed. | 241 m² | 1st floor exterior with lift,"Exclusive luxury apartment in the El Quadrat d'Or of Eixample Located in the heart of the prestigious Eixample Right, within the coveted El Quadrat d'Or, this exceptional apartment represents the essence of Barcelona's most sophisticated lifestyle. With a privileged position at the intersection of Calle Provença and Carrer de Roger de Llúria, the home enjoys extraordinary luminosity and open views that enhance its unique character. Elegance, Light, and Architecture The property features three elegant French windows facing Provença and four",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
110823853,https://www.idealista.com/en/inmueble/110823853/,"Flat / apartment in Calle de Pau Claris, 76, La Dreta de l'Eixample, Barcelona","2,150,000 €",3 bed. 183 m² 3rd floor exterior with lift | 3 bed. | 183 m² | 3rd floor exterior with lift,"Nestled in the vibrant heart of Barcelona's historic and elegant Eixample district, this exquisite residential apartment combines the charm of the past with the sophistication of today. The property, originally built in 1900 and meticulously refurbished in 2023, spans 183 square meters and features three bedrooms, each",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
108818765,https://www.idealista.com/en/inmueble/108818765/,"Duplex in Calle de la Diputació, La Dreta de l'Eixample, Barcelona","2,500,000 €",4 bed. 275 m² 3rd floor exterior with lift | 4 bed. | 275 m² | 3rd floor exterior with lift,"This duplex penthouse for sale in the Dreta de l’Eixample district offers 221m² of living space and an impressive 100m² private terrace. The property combines the classic essence of Barcelona architecture with an elegant and functional contemporary style. Located in one of the city's most sought-after areas, the apartm",https://www.idealista.com/en/venta-viviendas/barcelona-barcelona/,2026-04-17T15:35:12+00:00,,
