query,lat,lon,display_name,importance,osm_type,osm_id,geocode_status,geocoded_at
"Actor Morano, 2 -4, Vallvidrera - El Tibidabo i les Planes, Barcelona, Spain",41.4135525,2.1055429,"Carrer de l'Actor Morano, Vallvidrera, Vallvidrera, el Tibidabo i les Planes, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalunya, 08017, España",0.0534176905470359,way,385049144,found,2026-04-21T09:30:31.286925+00:00
"Amargos, 15, El Gòtic, Barcelona, Spain",41.38643,2.1740882,"15, Carrer d'Amargós, el Gòtic, Ciutat Vella, Barcelona, Barcelonès, Barcelona, Catalunya, 08002, España",8.435721370255616e-05,node,6291115155,found,2026-04-21T09:30:33.432738+00:00
"Antic De Valencia, 99, El Poblenou, Barcelona, Spain",41.4067706,2.2038567,"Camí Antic de València, el Poblenou, Sant Martí, Barcelona, Barcelonès, Barcelona, Catalunya, 08005, España",0.07194870560319186,way,27729311,found,2026-04-21T09:30:35.671081+00:00
"Av Republica Argentina, 94, Vallcarca i els Penitents, Barcelona, Spain",41.4108418,2.1457462,"94, Avinguda de la República Argentina, Vallcarca i els Penitents, Gràcia, Barcelona, Barcelonès, Barcelona, Catalunya, 08023, España",8.435721370255616e-05,node,11449405154,found,2026-04-21T09:30:37.437421+00:00
"Av. Sant Ramon Nonat, 11, La Maternitat i Sant Ramon, Barcelona, Spain",41.376721,2.1167287,"11-13, Avinguda de Sant Ramon Nonat, Sant Ramon, la Maternitat i Sant Ramon, les Corts, Barcelona, Barcelonès, Barcelona, Catalunya, 08904, España",8.435721370255616e-05,node,12039924923,found,2026-04-21T09:30:39.232608+00:00
"Avenida Diagonal, 32, Diagonal Mar i el Front Marítim del Poblenou, Barcelona, Spain",,,,,,,not_found,2026-04-21T09:30:42.977992+00:00
"Avenida Diagonal, 325, La Dreta de l'Eixample, Barcelona, Spain",,,,,,,not_found,2026-04-21T09:30:45.217446+00:00
"Avenida Diagonal, 339, La Dreta de l'Eixample, Barcelona, Spain",,,,,,,not_found,2026-04-21T09:30:47.439660+00:00
"Avenida Diagonal, 351, La Dreta de l'Eixample, Barcelona, Spain",,,,,,,not_found,2026-04-21T09:30:49.502581+00:00
"Avenida Diagonal, 358, La Dreta de l'Eixample, Barcelona, Spain",,,,,,,not_found,2026-04-21T09:30:51.625572+00:00
"Avenida Diagonal, 480, Vila de Gràcia, Barcelona, Spain",,,,,,,not_found,2026-04-21T09:30:53.900504+00:00
"Avenida Diagonal, 523, Les Corts, Barcelona, Spain",,,,,,,not_found,2026-04-21T09:30:56.041379+00:00
"Avenida Diagonal, 594, Sant Gervasi - Galvany, Barcelona, Spain",,,,,,,not_found,2026-04-21T09:30:58.829585+00:00
"Avenida Mas Fuster, 144, Barcelona, Spain",,,,,,,not_found,2026-04-21T09:31:01.646689+00:00
"Avenida Meridiana, 186, El Clot, Barcelona, Spain",,,,,,,not_found,2026-04-21T09:31:03.717579+00:00
"Avenida Meridiana, 580, Sant Andreu, Barcelona, Spain",,,,,,,not_found,2026-04-21T09:31:05.730876+00:00
"Avenida Meridiana, 80, El Clot, Barcelona, Spain",,,,,,,not_found,2026-04-21T09:31:07.600369+00:00
"Avenida Pau Casals, 22, Barcelona, Spain",,,,,,,not_found,2026-04-21T09:31:09.364188+00:00
"Avenida Pau Casals, 22, Sant Gervasi - Galvany, Barcelona, Spain",,,,,,,not_found,2026-04-21T09:31:11.143403+00:00
